Item ID,Item Description
S4HSIE101A08D,Rackmount Kit SOPHOS Firewalls
G1K22AT,HP Desktop Mini Security/Dual Vesa Sleeve
H6Y88UT#ABA,HP 45W Smart AC Adapter
WD80EFZZ,"WD Red Plus  8 TB Hard Drive - 3.5"" Internal - SAT"
NQ576AA,HP LCD Speaker Bar (Black)
WD2002FFSX,"2TB Red Pro 7.2k 64MB 3.5"""
CSP105U,CyberPower 8-Outlet Surge Protector
JL325A,Aruba 2930 2-port Stacking Module
WMP1E,Patchlink Horizontal Cable Manager
WMPH2E,Patchlink Horizontal Cable Manager
WMPSE,Patchlink Horizontal Cable Manager
111818,"OM2 Fiber Optic Cable - LC/SC, 50/125 - 3m"
33057,1m - SC-SC 10G 50/125 Om3 Duplex Multimode PVC
6391,"OM3 Fiber Optic Cable - LC/SC, UL, 50/125 Type (2 M)"
6393,"OM3 Fiber Optic Cable - LC/SC, UL, 50/125 (5 M)"
6400,"OM3 Fiber Optic Cable - SC/SC, UL, 50/125 Type (1 M)"
68825,Fiber Patch Cable - LC UPC to SC UPC - Duplex
A50FBLCSC2,Aqua Multimode 50/125 Duplex Fiber Patch Cable (2 M)
N370-06M,Duplex Singlemode 8.3/125 Fiber Patch Cable (20 ft)
OM3LCDX,Fiber Patch Cable - LC UPC to LC UPC - Duplex
OM4LCDX,LC UPC to LC Fiber Optic Patch Cable (1 M)
OM4LCSCDX,LC UPC to SC UPC Duplex OM4 Multimode PVC (1 M)
OM4LCSDX,Fiber Patch Cable - LC UPC to LC UPC - 3M
J9281B,HP X242 10G SFP+ to SFP+ 1m Direct Attach Copper
P004-006-2C13,Power Extension/Splitter Cord 2 Pack (6 ft)
SFP-H10GB-CU5M,10G SFP+ Twinax cable assembly v2 - CURV Label (5 M)
STACK-T1-50CM=,1PSTACK-T1-50CM=
STACK-T2-50CM=,1PSTACK-T2-50CM=
691821,AC Adapter Cord NEMA 6-50(50A) Male
P018-010,Power Extension Cord - C15 to C14 (10 ft)
P041-008,Power Extension Cord - L6-30R to L6-30P (8 ft)
PAC100,Power Cord - IEC320 EN 60320  (1 ft)
P004-008,"Power Extension Cord - C13/C14, 100-250V, 15A (8 ft)"
P005-006,"Power Extension Cord - C13/C14, 100-250V, 15A (6 ft)"
P005-010,"Power Extension Cord - C13/C14, 100-250V (10 ft)"
P004-004,"Power Extension Cord - C13/C14, 100-250V, 15A (4 ft)"
CS6-10F-BLK,10 ft -  Cat6 Snagless  Patch Cable (Slim) (Black)
CS6-15F-BLK,15 ft -  Cat6 Snagless Patch Cable (Slim) (Black)
N002-015-BK,15ft - Cat6 Snagless Patch Cable (Thick) (Black)
C6PATCH15BK,15 ft - Cat6 Ethernet Patch Cable (Black)
N201-003-BK,3 ft - Cat6 Snagless Patch Cable (Thick) (Black)
RJ45COUPLER,Cat5e RJ45 Modular Inline Coupler
N201-007-WH,7 ft - Cat6 Snagless Patch Cable (Thick) (White)
WP-PC-CAT6-7FT-WHT,7 ft - Cat6 Snagless Patch Cable (Thick) (White)
N201-S01-BK-,1 ft - Cat6 Snagless Patch Cable (Slim) (Black)
N201-S02-BK,2 ft - Cat6 Snagless Patch Cable (Slim) (Black)
71883,7 ft (2.1) Cat6 28AWG Snag less Unshielded (UTP) Slim Blue
C6-CPLR-BLK,Cat6 RJ45 In Line Coupler 
N6PATCH10BL,10 ft -  Cat6 Snagless Patch Cable (Thick) (Blue)
N6PATCH6BL,6 ft -  Cat6 Snagless Patch Cable (Thick) (Blue)
WP-PC-CAT6-15FT-GRN,15 ft - Cat6 Snagless Patch Cable (Thick) (Green)
WP-PC-CAT6-15FT-RED,15ft - Cat6 Snagless Patch Cable (Thick) (Red)
WP-PC-CAT6-15FT-YLW,15ft - Cat6 Snagless Patch Cable (Thick) (Yellow)
WP-PC-CAT6-3FT-WHT,3 ft - Cat6 Snagless Patch Cable (Thick) (White)
WP-PC-CAT6-3FT-YLW,3 ft - Cat6 Snagless Patch Cable (Thick) (Yellow)
WP-PC-CAT6-7FT-RED,7 ft - Cat6 Snag less Patch Cable (Thick) (Red)
WP-PC-CAT6-7FT-WHT,7 ft - Cat6 Snagless Patch Cable (Thick) (White)
1375191,"RJ45, SL-Series Modular Jack, Cat5e Unshielded, Black"
5G110-R05,LEVITON CAT 5E Connector
CS6-02F-BLK,2 ft - Cat6 Snagless  Patch Cable (Slim) (Black)
N201-015-BK,15 ft - Cat6 Snagless Patch Cable (Thick) (Black)
N238-001-BL,Blue Cat6/5e Keystone Jack 
CS6-03F-BLK,3 ft -  Cat6 Snagless  Patch Cable (Slim) (Black)
CS6-05F-BLK,5 ft - Cat6 Snagless Patch Cable (Slim) (Black)
CS6-07F-BLK,7 ft -  Cat6 Snagless  Patch Cable (Slim) (Black)
N002-002-BL,2 ft - Cat5e Snagless Patch Cable (Thick) (Blue)
N201-S8N-BL,8 in - Cat6 Snagless Patch Cable (Slim) (Blue)
P581-006,DisplayPort to DVI-D Single-Link Device Cable (6 ft)
P581-006-VGA,DisplayPort to VGA Cable (6 ft)
P582-006,DisplayPort to HD Cable MM (6 ft)
42516,HDMI to DVI-D Digital Video Cable  M/M (6 ft)
752660-001,DisplayPort to DVI-D Adapter
MDP2DVIMM6B,Mini DisplayPort to DVI Adapter MM (6 ft)
X002HSCLY7,HDMI to VGA Adapter
DISPLPORT3L,DisplayPort Cable with Latches MM (3 ft)
DISPLPORT6L,DisplayPort Cable with Latches MM (6 ft)
54401,Displayport Cable (6 ft)
MXT101MM15,VGA Monitor Cable (15 ft)
113063x2,Mini-HDMI to HDMI M/F 2-pk
56783,HDMI Cable with Ethernet - 4k (6 ft)
HDMIACMM6S,Mini HDMI to HDMI MM (Slim) (6 ft)
P570-003-MICRO,Mini HDMI to HDMI MM (3 ft)
P570-006-MICRO,Mini HDMI to HDMI MM (6 ft)
P582-006-V2,DisplayPort 1.2 to HD Cable MM (6ft)
P586-006-HDMI,Mini DisplayPort to HDMI MM (6 ft)
HDMID-06F-MM,DVI-D to HDMI Adapter
P582-025,DisplayPort to HD Cable MM (25 ft)
CT16G56C46S5,16GB DDR5 5600 SODIMM
CTK166G4SFD832A,32GB KIT(2x16GB) DDR4-3200
EXPI9301CTBLK,Intel® Gigabit CT Desktop Adapter
HMA82GR7DJR8N-XN,16GB DDR4 SDRAM Memory Module
SDCIT2/8GB,Kingston 8GB Micro SSD
SSDPEKKW512G7X1,Intel TD Sourcing SSD 600P SERIES - 512 GB
879507-B21,HPE Standard Memory DDR4 16GB 2666 MHz
CT8G4DFRA266,Crucial DDR4-2666 UDIMM 8GB
HDACFM,HDMI to HDMI Mini Adapter - FM
HDMIDVIFM,HDMI to DVI-D Video Cable Adapter - FM
HDMIDVIMF,HDMI to DVI-D Video Cable Adapter - MF
MUYHSMFF,"3.5mm 4 Pin to 2x 3 Pin 3,5mm Headset Splitter"
SSDMCEAC120B3,Intel® SSD 525 Series(Discontinued)
U428-000-F,USB 3.1 Gen1 Adapter - USB Type-C Male to AF
MPUIQ-VMCHS-G01,Vertiv Avocent VM Interface Module 
ICUSB2321F,1 Port USB to Serial RS232 Adapter Cable with COM
ST3300G3UA,3-Port USB 3.0 Hub Plus Gigabit Ethernet
USB315CC1M,USB-C Cable M/M USB 3.0 (3 ft)
USB31AC1M,USB-C to USB-A Cable - MM - (3ft)
USB56KEMH2,56K USB Dial-up and Fax Modem
28106,USB 2.0 A/A Cable (6 ft)
U042-036,USB 2.0 A/B Cable (36 ft)
USB2100,USB 2.0 to 10/100Mbps Fast Ethernet Network Adapter
USB2HAB1,USB 2.0 Cable A to B M/M (1 ft)
N201-010-BK,10 ft Cat6 Snagless Patch Cable (Thick) (Black)
NDUCWTRN,USB-C to USB 3.0 Adapter
X002Y1NM3L,USB-C to Display Port Cable
42626652,HP EliteDesk 800 G3 Mini Desktop
5TW13AA,USB-C/A Universal Dock G2
ACC-MNT-CJBOX-1,Circle Junction Box Mount
ACC-MNT-LBRAC-1,L-Bracket Mount
ACC-MNT-PEND-1,Pendant Cap Mount
1003044735,100 ft - CAT6 Ethernet Cable (Thick) (White)
P041-014,Power Extension Cord - L6-30R to L6-30P (14 ft)
4POSTRAIL,CyberPower Universal Rack Mount Rail
729871-001,Cable Arm Kit  2U G9
764671-001,HPE Kit Rack Monitoring 1U Short Gen9
CABSHELF,2U - 19in Standard Unviersal Fixed Shelf
CP2RAIL02,CyberPower 4 Post Rail Kit for UPS
N252-024-6A,Cat6 Patch Panel 568B - 24 Ports
PDU20BHVT12R,CyberPower Basic 12-Outlets PDU
WALLMOUNTH2,2U - Hinged Wall Mount Bracket (19 in)
CABSHELF1U10,1U - Cantilever Shelf - 10 in Depth
CABSHELFV,2U - 16in Vented Universal Depth Shelf
SR-SHELF-FIXED-1U,1U - Strong Fixed Metal Rack Shelf 
SR-SHELF-FIXED-2U,2U - Strong Fixed Metal Rack Shelf
UAP-AC-M-PRO-US,Ubiquiti UniFi AC Mesh UAP-AC-M-PRO 
CKG2-RM,CloudKey Rack Mount
FK-120-2,"Cool Components Fan Kit for 4.5"""
U6-LR-US,Ubiquiti UniFi 6 Wireless Access Point
GHP621,Grandstream Holel Phone
YEA-PS5V2000US,"Yealink Power Supply for T46S, T48S, & CP860"
YEA-SIP-T54W,Prime Business SIP Phone
2200-46135-025,Polycom VVX300
2200-46350-025,VVX Color Expansion Module
W56H,IP DECT Phone W56H
YEA-HNDSTCRD5,Universal Phone Spinal Cord
Yealink WH62 Mono,Yealink WH62 Wireless Mono Teams Headset
64X86AA,"HP P22 G5 21.5"" Full HD LCD Monitor"
TT203,toast Data Processing Machine
XG118Z00ZZPCUS,XGS 118 Network Security/Firewall Appliance
XG118Z00ZZPCUS,XGS 118 Network Security/Firewall Appliance
XG2ATCHUS,XGS 2100 Security/Firewall Appliance
XG2ATCHUS,XGS 2100 Security/Firewall Appliance
XG2ATCHUS,XGS 2100 Security/Firewall Appliance
XG2ATCHUS,XGS 2100 Security/Firewall Appliance
XG2ATCHUS,XGS 2100 Security/Firewall Appliance
647594-B21,HPE Ethernet 1Gb 4-port 331T Adapter
AC89BD,Tripp-Lite-Lite SRCASTER
J9735A,Aruba 2920/2930M 1m Stacking Cable
J9736A,Aruba 2920/2930M 3.0m Stacking Cable
P01367-B21,HPE 96W Smart Storage Battery 260mm Cable
ENVIROSENSOR,Environmental Sensor
UAP-AC-LR,Ubiquiti UniFi UAP-AC-LR
UAP-AC-M-US,Ubiquiti AC Mesh Access Point
RCCARD100,CyberPower RCCARD100
RMCARD205,CyberPower  Remote Management Card
RMCARD205,CyberPower  Remote Management Card
RMCARD205,CyberPower  Remote Management Card
RMCARD205,CyberPower  Remote Management Card
RMCARD205,CyberPower  Remote Management Card
RMCARD205,CyberPower  Remote Management Card
USB-WIFIAX,PLUGABLE USB 3 WI-FI 6 ADAPTER
POE-24-12W-G,Ubiquiti POE-24-12W-G
POE-48-24W,Ubiquiti POE-48-24W
OR1000LCDRM1U,CyberPower 1000VA/600W UPS Smart App LCD
PR1500RT2U-R,CyberPower PR1500RT2U-R Smart App 1500VA/1500W
PR3000RT2UN,CyberPower PR3000RT2UN New Smart App Sinewave UPS
PR3000RTXL2UN,CyberPower PR3000RTXL2UN New Smart App Sinewave UPS Systems
00407352,"Heavy-Duty AC Cooling Fan, 110V-120V, Black"
A1RC9UT,"HP ZBook Firefly G11 16"" Mobile Workstation"
A98XTUT,HP Elite Series 800 Desktop
A98XTUT,HP Elite Series 800 Desktop
A98XTUT,HP Elite Series 800 Desktop
A98XTUT,HP Elite Series 800 Desktop
B01EXP83VU,5V Charger for Logitech Multimedia Speakers
B071YZJ1G1,Logitech MX Master 2S Wireless Mouse
B07BHDJKRD,"10Gb SFP+ RJ45 Module, 10Gbase-T Ethernet SFP+ Copper"
B07RQPJNZH,MiniOTP-2-i programmable Two-Factor Security Token 
B086GNRTZF,Laptop Battery Replacement for HP EliteBook 1040
B089RWJVZB,CMOS Battery RTC Battery CR2032
B08PL3V96W,"Cat8 Ethernet Cable, 20ft "
B09W2JN1MC,Laptop Keyboard Replacement for HP ProBook
B0BWTYGT8C,Laptop Keyboard Replacement for HP EliteBook
B0DQTJP84B,HP ProBook Laptop Upper Case Palm Rest Keyboard Assembly
B0DTTCJRC7,10GbE Ethernet Adapter -USB4
CD63-512E-HW,"CD63-E Outdoor Dome Camera, 512GB, 30 Days Max"
EG001800JWJNR,HPE 1.8TB SAS 12Gbps 2.5Inch Digitally Signed Hard Drive
EG001800JWJNR,HPE 1.8TB SAS 12Gbps 2.5Inch Digitally Signed Hard Drive
GS-GHP621,Desktop Hotel Phone - Black
H42PQE,HPE Pointnext Tech Care Essential - Extended Servi
HID ProxKey III Keyfob, HID ProxKey III Keyfob
KCP556SS816,16GB DDR5 5600 SODIMM
MFC-L8395CDW,Brother Multifunction Printer - Color
MMFJ3LL/A,Apple - Mac Mini Desktop - M2 Chip - 8GB Memory - 256GB SSD 
U6-IW,Ubiquiti UniFi  Dual Band Wi-Fi 6 IEEE 802.11 a/b/ (In Wall)
